rspo,school_name,year,kept_miejscowosc,kept_ulica_nr,declined_miejscowosc,declined_ulica_nr,dropped_words
2970,NIEPUBLICZNA SZKOŁA PODSTAWOWA W GOŁĄBKU,2026,Gołąbek,ul. Szkolna 26,Gołąbek,Szkolna 26,ul
3471,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W STUPSKU,2026,Stupsk,ul. Henryka Sienkiewicza 11,Stupsk,Sienkiewicza 11,ul henryka
3798,SZKOŁA PODSTAWOWA IM. FRYDERYKA CHOPINA W KSIĄŻENICACH,2026,Książenice,al. E. Marylskiego 3,Książenice,Marylskiego 3,al e
3951,SZKOŁA PODSTAWOWA NR 1 IM. JÓZEFA PIŁSUDSKIEGO W PIASECZNIE,2026,Piaseczno,ul. Świętojańska 18,Piaseczno,Świętojańska 18,ul
4048,SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA,2026,Grodzisk Mazowiecki,ul. W. Bartniaka 13A,Grodzisk Mazowiecki,Bartniaka 13A,ul w
4120,PUBLICZNA SZKOŁA PODSTAWOWA,2026,Parysów,ul. Książęca 11,Parysów,Książęca 11,ul
4470,SZKOŁA PODSTAWOWA NR 6 IM. SZARYCH SZEREGÓW,2026,Grodzisk Mazowiecki,ul. Sportowa 31,Grodzisk Mazowiecki,Sportowa 31,ul
4661,SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA BRONIEWSKIEGO,2026,Bielsk,ul. Sierpecka 42,Bielsk,Sierpecka 42,ul
4698,SZKOŁA PODSTAWOWA IM. ŻOŁNIERZY ARMII KRAJOWEJ - BOHATERÓW LASÓW CHOJNOWSKICH W UWIELINACH,2026,Uwieliny,ul. Szkolna 2A,Uwieliny,Szkolna 2A,ul
4699,SZKOŁA PODSTAWOWA,2026,Prażmów,ul. Franciszka Ryxa 72,Prażmów,Ryxa 72,ul franciszka
4818,PUBLICZNA SZKOŁA PODSTAWOWA IM. ST. ŻEROMSKIEGO,2026,Wierzbica,ul. Żeromskiego 62,Wierzbica,Żeromskiego 62,ul
5120,SZKOŁA PODSTAWOWA NR 352 W WARSZAWIE IM. JERZEGO HUBERTA WAGNERA,2026,Warszawa,ul. Josepha Conrada 6,Warszawa,Conrada 6,ul josepha
5908,AKADEMIA PRYMUSA NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. LEONARDA DA VINCI W SOCHACZEWIE,2026,Sochaczew,ul. Stadionowa 4,Sochaczew,Stadionowa 4,ul
5947,SZKOŁA PODSTAWOWA IM.PAPIEŻA JANA PAWŁA II W BLOCHACH,2026,Blochy,ul. Spacerowa 8,Blochy,Spacerowa 8,ul
6004,SZKOŁA PODSTAWOWA IM.TADEUSZA KOŚCIUSZKI W DŁUGOSIODLE,2026,Długosiodło,ul. Tadeusza Kościuszki 5,Długosiodło,Kościuszki 5,ul tadeusza
6010,SZKOŁA PODSTAWOWA IM.KS.JANA TWARDOWSKIEGO W STARYM BOSEWIE,2026,Stare Bosewo,ul. Rozwojowa 19,Stare Bosewo,Rozwojowa 19,ul
6164,SZKOŁA PODSTAWOWA NR 2 IM. M. KONOPNICKIEJ,2026,Grodzisk Mazowiecki,ul. W. Westfala 3,Grodzisk Mazowiecki,Westfala 3,ul w
6360,SZKOŁA PODSTAWOWA IM. PLK LEOPOLDA LISA-KULI W PRUSZYNIE,2026,Pruszyn,ul. Dolina Liwca 46,Pruszyn,Dolina Liwca 46,ul
6489,SZKOŁA PODSTAWOWA NR 300 IM. WANDY RUTKIEWICZ,2026,Warszawa,ul. Gubinowska 28/30,Warszawa,Gubinowska 28/30,ul
6539,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W GOLICACH,2026,Golice,ul. Szkolna 2,Golice,Szkolna 2,ul
6583,ZESPÓŁ OŚWIATOWY W NOWYCH IGANIACH SZKOŁA PODSTAWOWA IM. GEN. IGNACEGO PRĄDZYŃSKIEGO,2026,Nowe Iganie,ul. Siedlecka 113,Nowe Iganie,Siedlecka 113,ul
6599,SZKOŁA PODSTAWOWA IM.JÓZEFA CHEŁMOŃSKIEGO,2026,Suchostruga,ul. Szkolna 20,Suchostruga,Szkolna 20,ul
6711,ZESPÓŁ SZKÓŁ W PRZESMYKACH SZKOŁA PODSTAWOWA W PRZESMYKACH,2026,Przesmyki,ul. Narutowicza 18,Przesmyki,Narutowicza 18,ul
7056,SZKOŁA PODSTAWOWA NR 169 IM. ORŁA BIAŁEGO,2026,Warszawa,ul. Uprawna 9/17,Warszawa,Uprawna 9/17,ul
7167,SZKOŁA PODSTAWOWA NR 2 W KARCZEWIE,2026,Karczew,ul. Otwocka 13,Karczew,Otwocka 13,ul
7317,SZKOŁA PODSTAWOWA IM. KORNELA MAKUSZYŃSKIEGO W KOZŁOWIE BISKUPIM,2026,Kozłów Biskupi,ul. Olimpijska 1,Kozłów Biskupi,Olimpijska 1,ul
7372,SZKOŁA PODSTAWOWA IM. FRYDERYKA CHOPINA W SANNIKACH,2026,Sanniki,ul. Warszawska 183,Sanniki,Warszawska 183,ul
7432,SZKOŁA PODSTAWOWA NR 1 IM. MARII CURIE - SKŁODOWSKIEJ W MAŁKINI GÓRNEJ,2026,Małkinia Górna,ul. Ostrowska 58,Małkinia Górna,Ostrowska 58,ul
7603,SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W JÓZEFINIE,2026,Józefina,ul. Mazowiecka 1,Józefina,Mazowiecka 1,ul
8524,SZKOŁA PODSTAWOWA IM. JÓZEFA WYBICKIEGO W JANÓWKU,2026,Janówek Pierwszy,ul. Dworcowa 5,Janówek Pierwszy,Dworcowa 5,ul
8813,SZKOŁA PODSTAWOWA IM. ŚW. JANA PAWŁA II W SOMIANCE,2026,Somianka,ul. Szkolna 6,Somianka,Szkolna 6,ul
8847,SZKOŁA PODSTAWOWA W RACZYNACH,2026,Raczyny,ul. Kopernika 5,Raczyny,Kopernika 5,ul
8848,SZKOŁA PODSTAWOWA W BĘDZYMINIE,2026,Będzymin,ul. Główna 36,Będzymin,Główna 36,ul
8850,SZKOŁA PODSTAWOWA W CHAMSKU,2026,Chamsk,ul. Szkolna 19,Chamsk,Szkolna 19,ul
9677,ZESPÓŁ OŚWIATOWY W ŻELKOWIE-KOLONII SZKOŁA PODSTAWOWA IM. ADAMA MICKIEWICZA,2026,Żelków-Kolonia,ul. Siedlecka 202,Żelków-Kolonia,Siedlecka 202,ul
9690,SZKOŁA PODSTAWOWA NR 1 IM. STANISŁAWA STASZICA,2026,Piastów,ul. Józefa Brandta 22,Piastów,Brandta 22,ul józefa
9717,PUBLICZNA SZKOŁA PODSTAWOWA W CEGŁOWIE IM. BOHATERSKICH HARCERZY CEGŁOWA,2026,Cegłów,ul. Poprzeczna 27,Cegłów,Poprzeczna 27,ul
10000,PUBLICZNA SZKOŁA PODSTAWOWA IM. LEONA WYCZÓŁKOWSKIEGO W MIASTKOWIE KOŚCIELNYM,2026,Miastków Kościelny,ul. Szkolna 8,Miastków Kościelny,Szkolna 8,ul
10046,ZESPÓŁ OŚWIATOWO-WYCHOWAWCZY W STRZALE SZKOŁA PODSTAWOWA IM. IRENY KOSMOWSKIEJ,2026,Chodów,ul. Sokołowska 1,Chodów,Sokołowska 1,ul
11287,"SZKOŁA PODSTAWOWA NR 1 IM. BAONU ""NADBUŻAŃSKIEGO"" AK W ŁOCHOWIE",2026,Łochów,ul. Stefana Żeromskiego 3,Łochów,Żeromskiego 3,ul stefana
11290,SZKOŁA PODSTAWOWA NR 5 IM. JANUSZA KUSOCIŃSKIEGO,2026,Nowy Dwór Mazowiecki,ul. Chemików 1A,Nowy Dwór Mazowiecki,Chemików 1A,ul
11523,ZESPÓŁ OŚWIATOWO-WYCHOWAWCZY W BIAŁKACH SZKOŁA PODSTAWOWA IM.ŻOŁNIERZY II ARMII WOJSKA POLSKIEG,2026,Białki,ul. Diamentowa 1,Białki,Diamentowa 1,ul
11677,SZKOŁA PODSTAWOWA W KĄTACH,2026,Kąty,ul. Królewska 58,Kąty,Królewska 58,ul
11678,SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W RUDZIENKU,2026,Rudzienko,ul. Szkolna 11,Rudzienko,Szkolna 11,ul
11916,SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W KAMIONNIE,2026,Kamionna,ul. Szkolna 18,Kamionna,Szkolna 18,ul
11917,SPOŁECZNA SZKOŁA PODSTAWOWA NR 23 IM. GEN. BRYG. LEOPOLDA OKULICKIEGO,2026,Grodzisk Mazowiecki,ul. 3 Maja 33,Grodzisk Mazowiecki,Maja 33,ul 3
13052,SZKOŁA PODSTAWOWA NR 1 IM. ARMII KRAJOWEJ,2026,Gostynin,ul. Józefa Ozdowskiego 2,Gostynin,Ozdowskiego 2,ul józefa
13392,SZKOŁA PODSTAWOWA IM. ALEKSANDRA KAMIŃSKIEGO W GUZOWIE,2026,Guzów,ul. Rodu Łubieńskich 2,Guzów,Rodu Łubieńskich 2,ul
13397,SZKOŁA PODSTAWOWA NR 7 IM. FRYDERYKA CHOPINA,2026,Sochaczew,ul. Fryderyka Chopina 99,Sochaczew,Chopina 99,ul fryderyka
13456,SZKOŁA PODSTAWOWA IM. ŚWIĘTEGO JANA PAWŁA II WE FRANCISZKOWIE,2026,Franciszków,ul. Dębowa 25,Franciszków,Dębowa 25,ul
13697,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""MOJA SZKOŁA"" IM. WANDY CHOTOMSKIEJ",2026,Łomianki,ul. Równa 26,Łomianki,Równa 26,ul
14909,PUBLICZNA SZKOŁA PODSTAWOWA NR 3 Z ODDZIALAMI INTEGRACYJNYMI IM. TADEUSZA KOŚCIUSZKI W PUŁTUSKU,2026,Pułtusk,ul. Aleja Tysiąclecia 14,Pułtusk,Aleja Tysiąclecia 14,ul
15188,SZKOŁA PODSTAWOWA NR 2 IM. DĄBRÓWKI,2026,Mińsk Mazowiecki,ul. Dąbrówki 10,Mińsk Mazowiecki,Dąbrówki 10,ul
15216,SZKOŁA PODSTAWOWA W OTWOCKU WIELKIM,2026,Otwock Wielki,ul. Zamkowa 4,Otwock Wielki,Zamkowa 4,ul
15223,SZKOŁA PODSTAWOWA NR 3 IM. M.J. PIŁSUDSKIEGO W WOŁOMINIE,2026,Wołomin,ul. Piłsudskiego 51,Wołomin,Piłsudskiego 51,ul
15224,SZKOŁA PODSTAWOWA NR 7 Z ODDZIAŁAMI INTEGRACYJNYMI IM. KRÓLOWEJ JADWIGI W WOŁOMINIE,2026,Wołomin,ul. Poprzeczna 6,Wołomin,Poprzeczna 6,ul
15225,SZKOŁA PODSTAWOWA W LEŚNIAKOWIŹNIE,2026,Leśniakowizna,ul. Kasprzykiewicza 153,Leśniakowizna,Kasprzykiewicza 153,ul
15226,SZKOŁA PODSTAWOWA IM. FRYDERYKA CHOPINA W STARYCH GRABIACH,2026,Stare Grabie,ul. Cichorackiej 8,Stare Grabie,Cichorackiej 8,ul
15227,SZKOŁA PODSTAWOWA IM. IGNACEGO JANA PADEREWSKIEGO W ZAGOŚCIŃCU,2026,Zagościniec,ul. Szkolna 1,Zagościniec,Szkolna 1,ul
15255,SZKOŁA PODSTAWOWA NR 6 Z ODDZIAŁAMI INTEGRACYJNYMI IM. KORNELA MAKUSZYŃSKIEGO W MŁAWIE,2026,Mława,ul. Żołnierzy 80 Pułku Piechoty 5,Mława,Żołnierzy 80 Pułku Piechoty 5,ul
15297,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 82 IM. JANA PAWŁA II,2026,Warszawa,ul. Stanisława Konarskiego 20,Warszawa,Konarskiego 20,ul stanisława
15341,SZKOŁA PODSTAWOWA NR 4 IM. POWSTAŃCÓW STYCZNIOWYCH,2026,Mińsk Mazowiecki,ul. Siennicka 17,Mińsk Mazowiecki,Siennicka 17,ul
15410,PUBLICZNA SZKOŁA PODSTAWOWA NR 1 W GRÓJCU,2026,Grójec,ul. Józefa Piłsudskiego 68,Grójec,Piłsudskiego 68,ul józefa
15412,PUBLICZNA SZKOŁA PODSTAWOWA NR 2 IM. JÓZEFA WYBICKIEGO W GRÓJCU,2026,Grójec,ul. Polna 17a,Grójec,Polna 17a,ul
15466,SZKOŁA PODSTAWOWA NR 5 IM. JÓZEFA WYBICKIEGO,2026,Mińsk Mazowiecki,ul. Małopolska 11,Mińsk Mazowiecki,Małopolska 11,ul
15765,SZKOŁA PODSTAWOWA NR 6 IM. HENRYKA SIENKIEWICZA,2026,Mińsk Mazowiecki,ul. gen. Kazimierza Sosnkowskiego 1,Mińsk Mazowiecki,Sosnkowskiego 1,ul gen kazimierza
15808,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 341 IM. TWÓRCÓW LITERATURY DZIECIĘCEJ,2026,Warszawa,ul. Oławska 3,Warszawa,Oławska 3,ul
15810,PUBLICZNA SZKOŁA PODSTAWOWA,2026,Mokobody,ul. Wiatraczna 14,Mokobody,Wiatraczna 14,ul
16233,SZKOŁA PODSTAWOWA NR 306 IM. KS. JANA TWARDOWSKIEGO,2026,Warszawa,ul. Tkaczy 27,Warszawa,Tkaczy 27,ul
16265,ZESPÓŁ OŚWIATOWY IM. JANA PAWŁA II W STOKU LACKIM SZKOŁA PODSTAWOWA,2026,Stok Lacki,ul. Siedlecka 135,Stok Lacki,Siedlecka 135,ul
16656,PUBLICZNA SZKOŁA PODSTAWOWA IM. JULIANA SUSKIEGO W JASIEŃCU,2026,Jasieniec,ul. Szkolna 7,Jasieniec,Szkolna 7,ul
16880,SZKOŁA PODSTAWOWA NR 10 IM. GRZEGORZA PIRAMOWICZA,2026,Warszawa,ul. Jasielska 49/53,Warszawa,Jasielska 49/53,ul
16899,SZKOŁA PODSTAWOWA NR 316 IM. ASTRID LINDGREN,2026,Warszawa,ul. Stanisława Szobera 1/3,Warszawa,Szobera 1/3,ul stanisława
16905,SZKOŁA PODSTAWOWA NR 321,2026,Warszawa,ul. ppłk. Wacława Szadkowskiego 3,Warszawa,Szadkowskiego 3,ul ppłk wacława
17566,SZKOŁA PODSTAWOWA W BORKOWICACH IM. JANUSZA ŁĄCKIEGO,2026,Borkowice,ul. ks. Jana Wiśniewskiego 8,Borkowice,Wiśniewskiego 8,ul ks jana
17798,SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW STYCZNIOWYCH,2026,Osieck,ul. Warszawska 61,Osieck,Warszawska 61,ul
17811,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W GOŹDZIE,2026,Gózd,ul. Starowiejska 130,Gózd,Starowiejska 130,ul
17813,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA KOCHANOWSKIEGO W MAŁĘCZYNIE,2026,Małęczyn,ul. Szkolna 64,Małęczyn,Szkolna 64,ul
17902,SZKOŁA PODSTAWOWA NR 23 IM. EDWARDA SZYMAŃSKIEGO,2026,Warszawa,ul. Mikołaja Reja 1,Warszawa,Reja 1,ul mikołaja
18090,SZKOŁA PODSTAWOWA NR 1 IM. HUGONA KOŁŁĄTAJA W MŁAWIE,2026,Mława,ul. Warszawska 52,Mława,Warszawska 52,ul
18227,SZKOŁA PODSTAWOWA NR 4 IM. HALINY RUDNICKIEJ W MŁAWIE,2026,Mława,ul. Graniczna 39,Mława,Graniczna 39,ul
18262,SZKOŁA PODSTAWOWA W ROZBITYM KAMIENIU,2026,Rozbity Kamień,ul. Wiktora Szajkowskiego 7,Rozbity Kamień,Szajkowskiego 7,ul wiktora
18397,SZKOŁA PODSTAWOWA NR 7 IM. ZUZANNY MORAWSKIEJ W MŁAWIE,2026,Mława,ul. Ordona 14,Mława,Ordona 14,ul
18796,PUBLICZNA SZKOŁA PODSTAWOWA IM.MARII KONOPNICKIEJ W STARYM LUBIEJEWIE,2026,Stare Lubiejewo,ul. Szkolna 15,Stare Lubiejewo,Szkolna 15,ul
18985,SZKOŁA PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA W WYSZKOWIE,2026,Wyszków,ul. 11 Listopada 62,Wyszków,Listopada 62,ul 11
19491,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 354 IM. ADAMA ASNYKA,2026,Warszawa,ul. Otwocka 3,Warszawa,Otwocka 3,ul
19623,SZKOŁA PODSTAWOWA NR 2 IM. IGNACEGO ŁUKASIEWICZA W WOŁOMINIE,2026,Wołomin,ul. Aleja Armii Krajowej 81,Wołomin,Aleja Armii Krajowej 81,ul
19627,SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. MARYNARKI WOJENNEJ RP W WOŁOMINIE,2026,Wołomin,ul. 1 Maja 19,Wołomin,Maja 19,ul 1
19631,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W DUCZKACH,2026,Duczki,ul. Szosa Jadowska 37,Duczki,Szosa Jadowska 37,ul
19633,SZKOŁA PODSTAWOWA IM. GEN. JANA HENRYKA DĄBROWSKIEGO W CZARNEJ,2026,Czarna,ul. Witosa 52,Czarna,Witosa 52,ul
19635,SZKOŁA PODSTAWOWA IM. KS. IGNACEGO SKORUPKI W OSSOWIE,2026,Ossów,ul. Matarewicza 148,Ossów,Matarewicza 148,ul
19870,SZKOŁA PODSTAWOWA NR 16 IM. TONY HALIKA,2026,Warszawa,ul. Wilczy Dół 4,Warszawa,Wilczy Dół 4,ul
20070,KATOLICKA SZKOŁA PODSTAWOWA IM. KS. MACIEJA KAZIMIERZA SARBIEWSKIEGO SI W MŁAWIE,2026,Mława,ul. Zygmunta Krasińskiego 5,Mława,Krasińskiego 5,ul zygmunta
20094,SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W AUGUSTÓWCE,2026,Augustówka,ul. Kolejowa 2,Augustówka,Kolejowa 2,ul
20117,SZKOŁA PODSTAWOWA IM. MJR. HENRYKA SUCHARSKIEGO W SOCHOCINIE,2026,Sochocin,ul. Szkolna 17,Sochocin,Szkolna 17,ul
20352,SZKOŁA PODSTAWOWA W MŁOCHOWIE,2026,Młochów,ul. Mazowiecka 46,Młochów,Mazowiecka 46,ul
20393,SZKOŁA PODSTAWOWA IM. ŚW. STANISŁAWA KOSTKI W KOSTOWCU,2026,Kostowiec,ul. Matki Florentyny Dymman 5,Kostowiec,Dymman 5,ul matki florentyny
20408,SZKOŁA PODSTAWOWA IM. MARII SKŁODOWSKIEJ-CURIE W RUŚCU,2026,Rusiec,ul. Osiedlowa 72,Rusiec,Osiedlowa 72,ul
20480,SZKOŁA PODSTAWOWA IM. PŁKA STANISŁAWA KRÓLICKIEGO W IZABELINIE,2026,Hornówek,ul. 3 Maja 49,Hornówek,Maja 49,ul 3
20562,SZKOŁA PODSTAWOWA IM.MIKOŁAJA KOPERNIKA W SEROCKU,2026,Serock,ul. Pułtuska 68,Serock,Pułtuska 68,ul
20653,SZKOŁA PODSTAWOWA NR 60 IM. POWSTANIA LISTOPADOWEGO,2026,Warszawa,ul. Zbaraska 3,Warszawa,Zbaraska 3,ul
20767,SZKOŁA PODSTAWOWA NR 65 IM. WŁADYSŁAWA ORKANA,2026,Warszawa,ul. Mścisławska 1,Warszawa,Mścisławska 1,ul
20768,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 68 IM. ARTURA OPPMANA,2026,Warszawa,ul. Or-Ota 5,Warszawa,Or-Ota 5,ul
20769,SZKOŁA PODSTAWOWA NR 92 IM. JANA BRZECHWY,2026,Warszawa,ul. Przasnyska 18A,Warszawa,Przasnyska 18A,ul
20770,SZKOŁA PODSTAWOWA NR 267 IM. JULIUSZA SŁOWACKIEGO,2026,Warszawa,ul. Braci Załuskich 1,Warszawa,Załuskich 1,ul braci
20772,SZKOŁA PODSTAWOWA NR 72 IM. PRZYJACIÓŁ GROCHOWA,2026,Warszawa,ul. Ludwika Michała Paca 44,Warszawa,Paca 44,ul ludwika michała
20793,SZKOŁA PODSTAWOWA NR 1 IM. MARII KOWNACKIEJ W ŁOMIANKACH,2026,Łomianki,ul. Warszawska 73,Łomianki,Warszawska 73,ul
20888,"SZKOŁA PODSTAWOWA NR 120 Z ODDZIAŁAMI INTEGRACYJNYMI IM. PUŁKÓW PIECHOTY ""DZIECI WARSZAWY""",2026,Warszawa,ul. Międzyborska 64/70,Warszawa,Międzyborska 64/70,ul
20938,PUBLICZNA SZKOŁA PODSTAWOWA IM.KORNELA MAKUSZYŃSKIEGO W UGNIEWIE,2026,Ugniewo,ul. Szkolna 28,Ugniewo,Szkolna 28,ul
21044,SZKOŁA PODSTAWOWA NR 141 IM. MJR HENRYKA SUCHARSKIEGO,2026,Warszawa,ul. Szaserów 117,Warszawa,Szaserów 117,ul
21170,SZKOŁA PODSTAWOWA IM. POR. ADOLFA PILCHA PS. GÓRA-DOLINA W DZIEKANOWIE POLSKIM,2026,Dziekanów Polski,ul. Rolnicza 435,Dziekanów Polski,Rolnicza 435,ul
21172,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W DZIEKANOWIE LEŚNYM,2026,Dziekanów Leśny,ul. por. Francisa Akinsa 6,Dziekanów Leśny,Akinsa 6,ul por francisa
21235,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 30 IM. POWSTAŃCÓW 1863 R. W WARSZAWIE,2026,Warszawa,ul. Kawęczyńska 2,Warszawa,Kawęczyńska 2,ul
21243,SZKOŁA PODSTAWOWA IM. ANDRZEJA MAŁKOWSKIEGO W SZCZAWINIE KOŚCIELNYM,2026,Szczawin Kościelny,ul. Jana Pawła II 1,Szczawin Kościelny,Jana Pawła II 1,ul
21253,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 73 IM. KRÓLA STEFANA BATOREGO W WARSZAWIE,2026,Warszawa,ul. Białostocka 10/18,Warszawa,Białostocka 10/18,ul
21304,"SZKOŁA PODSTAWOWA NR 163 IM. BATALIONU ""ZOŚKA""",2026,Warszawa,ul. Osiecka 28/32,Warszawa,Osiecka 28/32,ul
21340,SZKOŁA PODSTAWOWA NR 185 IM. UNICEF,2026,Warszawa,ul. gen. Tadeusza Bora-Komorowskiego 31,Warszawa,Bora-Komorowskiego 31,ul gen tadeusza
21344,SZKOŁA PODSTAWOWA NR 127 IM. HENRYKA SIENKIEWICZA W WARSZAWIE,2026,Warszawa,ul. Kowieńska 12/20,Warszawa,Kowieńska 12/20,ul
21371,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W WOLANOWIE,2026,Wolanów,ul. Kolejowa 29,Wolanów,Kolejowa 29,ul
21796,SZKOŁA PODSTAWOWA NR 2 IM. WŁADYSŁAWA BRONIEWSKIEGO W WYSZKOWIE,2026,Wyszków,ul. Jana Matejki 5,Wyszków,Matejki 5,ul jana
21950,SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W LUCYNOWIE,2026,Lucynów,ul. Szkolna 12,Lucynów,Szkolna 12,ul
22084,SZKOŁA PODSTAWOWA NR 312 IM. EWY SZELBURG-ZAREMBINY,2026,Warszawa,ul. Władysława Umińskiego 12,Warszawa,Umińskiego 12,ul władysława
22197,SZKOŁA PODSTAWOWA NR 96 IM. IRENY KOSMOWSKIEJ,2026,Warszawa,ul. Sarabandy 16/22,Warszawa,Sarabandy 16/22,ul
22206,SZKOŁA PODSTAWOWA NR 100 IM. PŁK. FRANCESCO NULLO,2026,Warszawa,ul. Taneczna 54/58,Warszawa,Taneczna 54/58,ul
22214,SZKOŁA PODSTAWOWA NR 303 IM. FRYDERYKA CHOPINA,2026,Warszawa,ul. Koncertowa 8,Warszawa,Koncertowa 8,ul
22511,SZKOŁA PODSTAWOWA NR 12 IM. MIRY ZIMIŃSKIEJ SYGIETYŃSKIEJ W PŁOCKU,2026,Płock,ul. Brzozowa 3,Płock,Brzozowa 3,ul
22683,PUBLICZNA SZKOŁA PODSTAWOWA,2026,Niwiski,ul. Rynek 21,Niwiski,Rynek 21,ul
22771,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 22 IM. JANUSZA KORCZAKA W PŁOCKU,2026,Płock,ul. Czwartaków 6,Płock,Czwartaków 6,ul
23047,SZKOŁA PODSTAWOWA NR 310 IM. MICHAŁA BYLINY,2026,Warszawa,ul. Hawajska 7,Warszawa,Hawajska 7,ul
23079,SZKOŁA PODSTAWOWA NR 313 IM. POLSKICH ODKRYWCÓW,2026,Warszawa,ul. Jana Cybisa 1,Warszawa,Cybisa 1,ul jana
23178,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 61 IM. JULIANA PRZYBOSIA W WARSZAWIE,2026,Warszawa,ul. Białobrzeska 27,Warszawa,Białobrzeska 27,ul
23192,SZKOŁA PODSTAWOWA NR 97 IM POLSKICH NOBLISTEK W WARSZAWIE,2026,Warszawa,ul. Spiska 1,Warszawa,Spiska 1,ul
23311,SZKOŁA PODSTAWOWA NR 264 IM. GABRIELI MISTRAL W WARSZAWIE,2026,Warszawa,ul. Walentego Skorochód-Majewskiego 17,Warszawa,Skorochód-Majewskiego 17,ul walentego
23346,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 280 IM. TYTUSA CHAŁUBIŃSKIEGO W WARSZAWIE,2026,Warszawa,ul. Gorlicka 3,Warszawa,Gorlicka 3,ul
23395,SZKOŁA PODSTAWOWA NR 319 IM. MARII KANN,2026,Warszawa,ul. Związku Walki Młodych 10,Warszawa,Związku Walki Młodych 10,ul
23401,SZKOŁA PODSTAWOWA NR 322 IM. JANA BRZECHWY,2026,Warszawa,ul. Edwarda Dembowskiego 9,Warszawa,Dembowskiego 9,ul edwarda
23448,SZKOŁA PODSTAWOWA NR 323 IM. POLSKICH OLIMPIJCZYKÓW,2026,Warszawa,ul. Ludwika Hirszfelda 11,Warszawa,Hirszfelda 11,ul ludwika
23503,SZKOŁA PODSTAWOWA NR 77 IM. WANDY CHOTOMSKIEJ,2026,Warszawa,ul. Samogłoska 9,Warszawa,Samogłoska 9,ul
23504,SZKOŁA PODSTAWOWA NR 133 IM. STEFANA CZARNIECKIEGO,2026,Warszawa,ul. Antoniego Fontany 3,Warszawa,Fontany 3,ul antoniego
23505,SZKOŁA PODSTAWOWA NR 187 IM. ADAMA MICKIEWICZA,2026,Warszawa,ul. Leopolda Staffa 21,Warszawa,Staffa 21,ul leopolda
23508,"SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 247 IM. KAZIMIERZA LISIECKIEGO ""DZIADKA""",2026,Warszawa,ul. Wrzeciono 9,Warszawa,Wrzeciono 9,ul
23514,SZKOŁA PODSTAWOWA INTEGRACYJNA NR 135 IM. MARII KOWNACKIEJ,2026,Warszawa,ul. Grzegorza Przemyka 5,Warszawa,Przemyka 5,ul grzegorza
23529,"SZKOŁA PODSTAWOWA NR 336 IM. JANKA BYTNARA ""RUDEGO""",2026,Warszawa,ul. Witolda Małcużyńskiego 4,Warszawa,Małcużyńskiego 4,ul witolda
23641,SZKOŁA PODSTAWOWA NR 1 IM. STEFANA ŻEROMSKIEGO W ŻUROMINIE,2026,Żuromin,ul. Wyzwolenia 12,Żuromin,Wyzwolenia 12,ul
23729,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 343 IM. MATKI TERESY Z KALKUTY,2026,Warszawa,ul. Stefana Kopcińskiego 7,Warszawa,Kopcińskiego 7,ul stefana
23746,SZKOŁA PODSTAWOWA NR 168 IM. CZESŁAWA NIEMENA,2026,Warszawa,ul. Zwycięzców 44,Warszawa,Zwycięzców 44,ul
