rspo,school_name,year,kept_miejscowosc,kept_ulica_nr,declined_miejscowosc,declined_ulica_nr,dropped_words
123456,SZKOŁA PODSTAWOWA NR 357 IM. MIKOŁAJA KOPERNIKA,2026,Warszawa,ul. Zachodzącego Słońca 25,Warszawa,Zachodzącego Słońca 25,ul
123511,"SZKOŁA PODSTAWOWA NIEPUBLICZNA IM. ""WIKTORII WIEDEŃSKIEJ"" FUNDACJI EDUKACYJNEJ ""VARSOVIA""",2026,Warszawa,ul. Kolegiacka 1,Warszawa,Kolegiacka 1,ul
123964,NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. LEONARDA DA VINCI,2026,Książenice,ul. Mazowiecka 87A,Książenice,Mazowiecka 87A,ul
124008,PRYWATNA MĘSKA SZKOŁA PODSTAWOWA IM. CECYLII PLATER-ZYBERKÓWNY,2026,Warszawa,ul. Piękna 24/26,Warszawa,Piękna 24/26,ul
124060,NIEPUBLICZNA SZKOŁA PODSTAWOWA SPECJALNA W ZIELONCE,2026,Zielonka,ul. Marecka 76,Zielonka,Marecka 76,ul
124290,SZKOŁA PODSTAWOWA KOLUMBUS Z ODDZIAŁAMI DWUJĘZYCZNYMI,2026,Błonie,ul. Traugutta 14,Błonie,Traugutta 14,ul
125611,KORCZAKOWSKA SZKOŁA MARZEŃ - NIEPUBLICZNA SZKOŁA PODSTAWOWA WARSZAWIE,2026,Warszawa,ul. Urbanistów 3,Warszawa,Urbanistów 3,ul
126498,SZKOŁA PODSTAWOWA TWP,2026,Ciechanów,ul. Ignacego Kraszewskiego 8a,Ciechanów,Kraszewskiego 8a,ul ignacego
126578,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI IM.ZYGMUNTA PADLEWSKIEGO W KAMPINOSIE,2026,Kampinos,ul. Szkolna 5,Kampinos,Szkolna 5,ul
127555,SZKOŁA PODSTAWOWA IM. 1 PUŁKU SZWOLEŻERÓW JÓZEFA PIŁSUDSKIEGO W MALCANOWIE,2026,Malcanów,ul. Mazowiecka 55,Malcanów,Mazowiecka 55,ul
127832,NOWATORSKA SZKOŁA PODSTAWOWA,2026,Warszawa,ul. Bogatki 23,Warszawa,Bogatki 23,ul
127926,DWUJĘZYCZNA NIEPUBLICZNA SZKOŁA PODSTAWOWA NOVUM,2026,Wołomin,ul. Legionów 63,Wołomin,Legionów 63,ul
128019,PUBLICZNA SZKOŁA PODSTAWOWA NR 1 Z ODDZIAŁAMI INTEGRACYJNYMI,2026,Julianów,ul. Julianowska 66B i 66C,Julianów,Julianowska 66B i 66C,ul
128589,"""BIG BEN"" NIEPUBLICZNA POLSKO-BRYTYJSKA SZKOŁA PODSTAWOWA IM. GENERAŁA WŁADYSŁAWA ANDERSA",2026,Lubiczów,ul. Warszawska 57,Lubiczów,Warszawska 57,ul
128770,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""TRAMPOLINE""",2026,Warszawa,ul. Obrońców 25,Warszawa,Obrońców 25,ul
130341,SZKOŁA PODSTAWOWA SPECJALNA,2026,Łomianki,ul. Warszawska 14,Łomianki,Warszawska 14,ul
130612,"SZKOŁA PODSTAWOWA NR 358 IM. HETMANA JANA ZAMOYSKIEGO W WARSZAWIE, PRZY UL. ŚW. URSZULI LEDÓCHOWSKIEJ 10",2026,Warszawa,ul. św. Urszuli Ledóchowskiej 10,Warszawa,Ledóchowskiej 10,ul św urszuli
